"analysis","stratum","horizon_days","horizon_years","initial_n","survival","lower_95","upper_95","std_error","n_risk","cumulative_events","cumulative_censors","events_at_horizon","censors_at_horizon"
"km_global","Global",0,0,198,1,1,1,0,198,0,0,0,0
"km_global","Global",365,0.999315537303217,198,0.903617719425604,0.849241357558864,0.939077649457883,0.0223210822599092,140,17,41,0,0
"km_global","Global",730,1.99863107460643,198,0.879830591193675,0.818659893464832,0.92134777810958,0.0256618070659922,99,20,79,0,0
"km_global","Global",1096,3.00068446269678,198,0.861578430563938,0.795219985579835,0.907668742940986,0.0281915048561255,63,22,114,0,1
"km_global","Global",1461,4,198,0.832810390154615,0.753793940393432,0.888320810809122,0.0338119171974789,42,24,132,0,0
"km_global","Global",1826,4.99931553730322,198,0.832810390154615,0.753793940393432,0.888320810809122,0.0338119171974789,9,24,166,0,1
