analysis_key,model_name,bin_label,n,events,mean_predicted_probability,median_predicted_probability,observed_proportion,wilson_lower_95,wilson_upper_95,probability_min,probability_max,figure,label,plotted_x
2y,logistic_parsimonious,"(0.168, 0.543]",29,8,0.3287024179138042,0.2731396727711204,0.27586206896551724,0.14698755102087954,0.45717132416865935,0.16762480751016162,0.5427551316168945,figura_calibracao_oof_2_anos_logistica_ridge,logística parcimoniosa,0.3257024179138042
2y,logistic_parsimonious,"(0.154, 0.168]",28,2,0.1639198808669491,0.16446302409080815,0.07142857142857142,0.01981206411530574,0.22645362568399052,0.1553516231024948,0.16752149392922905,figura_calibracao_oof_2_anos_logistica_ridge,logística parcimoniosa,0.1609198808669491
2y,logistic_parsimonious,"(0.064, 0.154]",29,4,0.07741994215783697,0.06545706275711799,0.13793103448275862,0.05497439964111964,0.30558993720352023,0.06415033236807709,0.15398957842358343,figura_calibracao_oof_2_anos_logistica_ridge,logística parcimoniosa,0.07441994215783697
2y,logistic_parsimonious,"(0.0518, 0.064]",29,4,0.06158552862615818,0.06285360008487287,0.13793103448275862,0.05497439964111964,0.30558993720352023,0.052830638775716414,0.06394385129506291,figura_calibracao_oof_2_anos_logistica_ridge,logística parcimoniosa,0.05858552862615818
2y,logistic_core_ridge,"(0.231, 0.491]",29,11,0.3198634768237032,0.30914553719129584,0.3793103448275862,0.2268802210080984,0.5599745579401147,0.23128511460779602,0.49141830125447455,figura_calibracao_oof_2_anos_logistica_ridge,ridge core,0.3228634768237032
2y,logistic_core_ridge,"(0.030399999999999996, 0.0695]",29,2,0.05342469930691108,0.0638367124255522,0.06896551724137931,0.019121266169433354,0.21964580150275695,0.031420706165711756,0.06944448604259515,figura_calibracao_oof_2_anos_logistica_ridge,ridge core,0.05642469930691108
2y,logistic_core_ridge,"(0.0695, 0.131]",28,2,0.0894026034402098,0.08769436121938429,0.07142857142857142,0.01981206411530574,0.22645362568399052,0.06953488602626523,0.13072233243952516,figura_calibracao_oof_2_anos_logistica_ridge,ridge core,0.0924026034402098
2y,logistic_core_ridge,"(0.131, 0.231]",28,3,0.1652560311304034,0.15151398583572376,0.10714285714285714,0.03711836682929999,0.27195851548672156,0.13107155308810203,0.23028450976188858,figura_calibracao_oof_2_anos_logistica_ridge,ridge core,0.1682560311304034
