analysis_key,model_name,threshold_name,metric_name,repetitions_expected,repetitions_valid,repetitions_invalid,mean,sd,median,p2_5,p97_5,minimum,maximum,interval_label
1y,logistic_core_ridge,FIXED_0_5,accuracy,100,100,0,0.9004635761589403,0.0014748443930702965,0.9006622516556292,0.9006622516556292,0.9006622516556292,0.8874172185430463,0.9006622516556292,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,FIXED_0_5,balanced_accuracy,100,100,0,0.5004828431372549,0.004001593469136283,0.5,0.5,0.5,0.49264705882352944,0.529656862745098,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,FIXED_0_5,f1,100,100,0,0.0022875816993464053,0.016100444331359747,0.0,0.0,0.0,0.0,0.11764705882352941,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,FIXED_0_5,negative_predictive_value,100,100,0,0.9007501294351821,0.000727707467048514,0.9006622516556292,0.9006622516556292,0.9006622516556292,0.8993288590604027,0.9060402684563759,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,FIXED_0_5,positive_predictive_value,100,3,97,0.27777777777777773,0.2545875386086578,0.3333333333333333,0.016666666666666666,0.49166666666666664,0.0,0.5,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,FIXED_0_5,sensitivity,100,100,0,0.0013333333333333333,0.00938035294241931,0.0,0.0,0.0,0.0,0.06666666666666667,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,FIXED_0_5,specificity,100,100,0,0.9996323529411765,0.0021859867279800044,1.0,0.996139705882353,1.0,0.9852941176470589,1.0,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,TRAIN_EVENT_RATE,accuracy,100,100,0,0.663774834437086,0.02662110541932973,0.6622516556291391,0.6026490066225165,0.7086092715231788,0.5960264900662252,0.7152317880794702,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,TRAIN_EVENT_RATE,balanced_accuracy,100,100,0,0.6540882352941176,0.030452630084745805,0.658578431372549,0.5675245098039216,0.6995465686274508,0.5421568627450981,0.7122549019607842,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,TRAIN_EVENT_RATE,f1,100,100,0,0.2756469617883868,0.025400170297870363,0.2777777777777778,0.2088294314381271,0.31595238095238093,0.1891891891891892,0.3235294117647059,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,TRAIN_EVENT_RATE,negative_predictive_value,100,100,0,0.9440088801210581,0.008132805345435394,0.946236559139785,0.9190772685515974,0.9572458791208791,0.9130434782608695,0.9591836734693877,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,TRAIN_EVENT_RATE,positive_predictive_value,100,100,0,0.17569336074223338,0.017550304104175317,0.17543859649122806,0.13497826086956521,0.20408163265306123,0.11864406779661017,0.20833333333333334,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,TRAIN_EVENT_RATE,sensitivity,100,100,0,0.642,0.05331228540902283,0.6666666666666666,0.4666666666666667,0.7333333333333333,0.4,0.7333333333333333,distribuicao descritiva entre repeticoes
1y,logistic_core_ridge,TRAIN_EVENT_RATE,specificity,100,100,0,0.6661764705882353,0.02890608062893002,0.6617647058823529,0.6025735294117647,0.7132352941176471,0.5955882352941176,0.7205882352941176,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,FIXED_0_5,accuracy,100,100,0,0.8971241830065364,0.008745242215521259,0.9019607843137255,0.8758169934640523,0.9019607843137255,0.8758169934640523,0.9019607843137255,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,FIXED_0_5,balanced_accuracy,100,100,0,0.5038550724637681,0.01280871705598413,0.5,0.4872282608695652,0.5468297101449275,0.4855072463768116,0.5521739130434783,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,FIXED_0_5,f1,100,100,0,0.021279734249985967,0.049701763045825714,0.0,0.0,0.1780632411067193,0.0,0.19047619047619047,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,FIXED_0_5,negative_predictive_value,100,100,0,0.9026724643415659,0.002357943099708082,0.9019607843137255,0.8996476510067114,0.9106672177609825,0.8993288590604027,0.9115646258503401,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,FIXED_0_5,positive_predictive_value,100,26,74,0.1565018315018315,0.12429129287299158,0.2,0.0,0.3333333333333333,0.0,0.3333333333333333,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,FIXED_0_5,sensitivity,100,100,0,0.014666666666666668,0.034918535946363585,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,FIXED_0_5,specificity,100,100,0,0.9930434782608696,0.012568829296507003,1.0,0.9637681159420289,1.0,0.9565217391304348,1.0,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,TRAIN_EVENT_RATE,accuracy,100,100,0,0.6956209150326796,0.053311223486569206,0.7058823529411765,0.5848039215686275,0.8300653594771242,0.5751633986928104,0.8300653594771242,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,TRAIN_EVENT_RATE,balanced_accuracy,100,100,0,0.6206231884057971,0.03313470252934427,0.6289855072463768,0.5377717391304347,0.6688768115942029,0.5268115942028986,0.6731884057971014,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,TRAIN_EVENT_RATE,f1,100,100,0,0.256335318492358,0.03520886229721906,0.2601797990481227,0.18100093764650727,0.35,0.1724137931034483,0.35,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,TRAIN_EVENT_RATE,negative_predictive_value,100,100,0,0.9328509630107169,0.00795193102691447,0.9345794392523364,0.9111423220973782,0.9444444444444444,0.9090909090909091,0.944954128440367,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,TRAIN_EVENT_RATE,positive_predictive_value,100,100,0,0.17111920876991452,0.031320120621136004,0.17349498327759197,0.121875,0.28,0.109375,0.28,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,TRAIN_EVENT_RATE,sensitivity,100,100,0,0.5273333333333333,0.06904511448244907,0.5333333333333333,0.3333333333333333,0.6349999999999993,0.3333333333333333,0.6666666666666666,distribuicao descritiva entre repeticoes
1y,logistic_parsimonious,TRAIN_EVENT_RATE,specificity,100,100,0,0.7139130434782609,0.06246726816614192,0.7246376811594203,0.5831521739130435,0.8695652173913043,0.5797101449275363,0.8695652173913043,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,FIXED_0_5,accuracy,100,100,0,0.6315789473684211,0.06504839864792133,0.6228070175438597,0.5129385964912281,0.7456140350877193,0.47368421052631576,0.7719298245614035,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,FIXED_0_5,balanced_accuracy,100,100,0,0.5778993055555557,0.04451996181310383,0.5807291666666667,0.4963541666666667,0.6546006944444445,0.4409722222222222,0.6684027777777778,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,FIXED_0_5,f1,100,100,0,0.29744466856247437,0.0485744779396323,0.3021061869240895,0.1955762792922047,0.37733333333333324,0.16216216216216217,0.40816326530612246,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,FIXED_0_5,negative_predictive_value,100,100,0,0.8763560335828028,0.021433594006335595,0.8764738521292829,0.8407407407407407,0.9173838797814208,0.8169014084507042,0.9387755102040817,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,FIXED_0_5,positive_predictive_value,100,100,0,0.21650591165646774,0.03671503200645078,0.21498599439775912,0.15454545454545454,0.29231499051233395,0.11627906976744186,0.3333333333333333,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,FIXED_0_5,sensitivity,100,100,0,0.4994444444444445,0.13365444870937876,0.5,0.24861111111111112,0.7222222222222222,0.16666666666666666,0.8333333333333334,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,FIXED_0_5,specificity,100,100,0,0.6563541666666667,0.09414659612619711,0.6666666666666666,0.4791666666666667,0.8234374999999998,0.4270833333333333,0.84375,distribuicao descritiva entre repeticoes
2y,decision_tree_shallow,TRAIN_EVENT_RATE,accuracy,100,100,0,0.3726315789473684,0.056001178727462214,0.381578947368421,0.2719298245614035,0.45614035087719296,0.22807017543859648,0.4649122807017544,distribuicao descritiva entre repeticoes
